movie_id,character,actor
12208,Legrand,Charles Boyer
12208,M / General MacTarry,John Huston
44695,Billy Jack,Tom Laughlin
44695,Vicky Barrington,Elizabeth James
44695,Daniel 'Danny' Carmody,Jeremy Slate
44695,Child,William Wellman Jr.
44695,Deputy Fred,Jack Starrett
44695,District Attorney George Davis,Paul Bruce
44695,Mr. Crawford,Robert Cleaves
44695,Speechless,Paul Prokop
44695,Cueball,Robert Tessier
44695,Linda Prang,Susan Foster
10633,Det. Virgil Tibbs,Sidney Poitier
10633,Police Chief Bill Gillespie,Rod Steiger
10633,Off. Sam Wood,Warren Oates
10633,Mrs. Leslie Colbert,Lee Grant
10633,Eric Endicott,Larry Gates
10633,Mr. Purdy,James Patterson
10633,Mayor Schubert,William Schallert
10633,Mama Caleba,Beah Richards
10633,Courtney,Peter Whitney
10633,Henderson,Kermit Murdock
903,Luke Jackson,Paul Newman
903,Dragline,George Kennedy
903,Boss Paul,Luke Askew
903,Boss Godfrey,Morgan Woodward
903,Tramp,Harry Dean Stanton
903,Babalugats,Dennis Hopper
903,Koko,Lou Antonio
903,Loudmouth Steve,Robert Drivas
903,Captain,Strother Martin
903,Arletta,Jo Van Fleet
18900,Perry Smith,Robert Blake
18900,Richard 'Dick' Hickcock,Scott Wilson
18900,Alvin Dewey,John Forsythe
18900,Jensen,Paul Stewart
18900,Harold Nye,Gerald S. O'Loughlin
18900,Mr. Hickock,Jeff Corey
18900,Roy Church,John Gallaudet
18900,Clarence Duntz,James Flavin
18900,Tex Smith,Charles McGraw
18900,Prosecutor,Will Geer
27945,John Russell,Paul Newman
27945,Dr. Alex Favor,Fredric March
27945,Cicero Grimes,Richard Boone
27945,Jessie,Diane Cilento
27945,Frank Braden,Cameron Mitchell
27945,Audra Favor,Barbara Rush
27945,Billy Lee Blake,Peter Lazer
27945,Doris Blake,Margaret Blye
27945,Henry Mendez,Martin Balsam
27945,Steve Early,Skip Ward
11206,Susy Hendrix,Audrey Hepburn
11206,Roat / Roat Jr. / Roat Sr.,Alan Arkin
11206,Mike Talman,Richard Crenna
11206,Sam Hendrix,"Efrem Zimbalist, Jr."
11206,Carlino,Jack Weston
11206,Lisa,Samantha Jones
11206,Gloria,Julie Herrod
11206,Boy Tossing Ball (uncredited),Robby Benson
11206,French-Canadian Radio Speaker (voice) (uncredited),Mel Ferrer
11206,Teenage Boy on Street (uncredited),Gary Morgan
16081,Dr. John Dolittle,Rex Harrison
16081,Emma Fairfax,Samantha Eggar
16081,Albert Blossom,Richard Attenborough
16081,Matthew Mugg,Anthony Newley
16081,General Bellowes,Peter Bull
16081,Mrs. Blossom,Muriel Landers
16081,Tommy Stubbins,William Dix
16081,William Shakespeare X,Geoffrey Holder
16081,Sarah Dolittle,Portia Nelson
16081,Lady Fetherington,Norma Varden
27277,Taw Jackson,John Wayne
27277,Lomax,Kirk Douglas
27277,Levi Walking Bear,Howard Keel
27277,Billy Hyatt,"Robert Walker, Jr."
27277,Wes Fletcher,Keenan Wynn
27277,Frank Pierce,Bruce Cabot
27277,Lola,Joanna Barnes
27277,Kate Fletcher,Valora Noland
27277,Hammond,Bruce Dern
27277,Deputy Hoag,Gene Evans
86059,Brown,Richard Burton
86059,Martha Pineda,Elizabeth Taylor
86059,Major H. O. Jones,Alec Guinness
86059,Mrs. Philipot,Gloria Foster
86059,Henri Philipot,Georg Stanford Brown
86059,Dr. Magiot,James Earl Jones
86059,Ambassador Manuel Pineda,Peter Ustinov
86059,Smith,Paul Ford
86059,Mrs. Smith,Lillian Gish
86059,Petit Pierre,Roscoe Lee Browne
26039,Walker,Lee Marvin
26039,Chris,Angie Dickinson
26039,Yost,Keenan Wynn
26039,Brewster,Carroll O'Connor
26039,Frederick Carter,Lloyd Bochner
26039,Stegman,Michael Strong
26039,Mal Reese,John Vernon
26039,Lynne,Sharon Acker
26039,Hired Gun,James Sikking
26039,Waitress,Sandra Warner
2984,Ogden Mears,Marlon Brando
2984,Natascha,Sophia Loren
2984,Martha,Tippi Hedren
2984,Harvey Crothers,Sydney Chaplin
2984,Chefsteward,Charlie Chaplin
2984,Miss Gaulswallow,Margaret Rutherford
2984,Crawford,Bill Nagy
2984,The Captain,John Paul
2984,John Felix,Michael Medwin
2984,Tänzerin,Geraldine Chaplin
45335,Guy Lambert,Elvis Presley
45335,Jill Conway,Anette Day
45335,Gerald Waverly,John Williams
45335,Claire Dunham,Yvonne Romain
45335,Archie Brown,Chips Rafferty
45335,Arthur Babcock,Norman Rossington
45335,Georgie (as Monty Landis),Monte Landis
45335,Morley,Michael Murphy
45335,Inspector de Groote,Leon Askin
45335,Iceman,John Alderson
62,Dr. Dave Bowman,Keir Dullea
62,Dr. Frank Poole,Gary Lockwood
62,Dr. Heywood R. Floyd,William Sylvester
62,HAL 9000 (voice),Douglas Rain
62,Moon-Watcher,Daniel Richter
62,Dr. Andrei Smyslov,Leonard Rossiter
62,Elena,Margaret Tyzack
62,Dr. Ralph Halvorsen,Robert Beatty
62,Dr. Bill Michaels,Sean Sullivan
62,Mission Controller (voice),Frank Miller
11356,Felix Ungar,Jack Lemmon
11356,Oscar Madison,Walter Matthau
11356,Vinnie,John Fiedler
11356,Murray,Herb Edelman
11356,Roy,David Sheiner
11356,Speed,Larry Haines
11356,Cecily Pigeon,Monica Evans
11356,Gwendolyn Pigeon,Carole Shelley
11356,Waitress,Iris Adrian
916,Lt. Frank Bullit,Steve McQueen
916,Walter Chalmers,Robert Vaughn
916,Cathy,Jacqueline Bisset
916,Delgetti,Don Gordon
916,Weissberg,Robert Duvall
916,Captain Sam Bennett,Simon Oakland
916,Captain Baker,Norman Fell
916,Dr. Willard,Georg Stanford Brown
916,Eddy,Justin Tarr
916,Detective Stanton,Carl Reindel
6003,Romeo,Leonard Whiting
6003,Juliet,Olivia Hussey
6003,Mercutio,John McEnery
6003,Tybalt,Michael York
6003,Friar Laurence,Milo O'Shea
6003,the Nurse,Pat Heywood
6003,the Prince,Robert Stephens
6003,Benvolio,Bruce Robinson
6003,Lord Capulet,Paul Hardwick
6003,Lady Capulet,Natasha Parry
17917,Fagin,Ron Moody
17917,Nancy,Shani Wallis
17917,Bill Sikes,Oliver Reed
17917,Bumble,Harry Secombe
17917,Oliver,Mark Lester
17917,The Artful Dodger,Jack Wild
17917,Magistrate,Hugh Griffith
17917,Mr. Brownlow,Joseph O'Conor
17917,Mrs. Bumble,Peggy Mount
17917,Sowerberry,Leonard Rossiter
805,Rosemary Woodhouse,Mia Farrow
805,Guy Woodhouse,John Cassavetes
805,Minnie Castevet,Ruth Gordon
805,Roman Castevet,Sidney Blackmer
805,Edward Hutchins,Maurice Evans
805,Dr. Abraham Sapirstein,Ralph Bellamy
805,Terry Gionoffrio,Victoria Vetri
805,Laura-Louise McBirney,Patsy Kelly
805,Mr. Nicklas,Elisha Cook Jr.
805,Elise Dunstan,Emmaline Henry
871,George Taylor,Charlton Heston
871,Cornelius,Roddy McDowall
871,Zira,Kim Hunter
871,Dr. Zaius,Maurice Evans
871,Dr. Honorious,James Daly
871,Nova,Linda Harrison
871,Landon,Robert Gunner
871,Lucius,Lou Wagner
871,Dr. Maximus,Woodrow Parfrey
871,Dodge,Jeff Burton
10331,Ben,Duane Jones
10331,Barbra,Judith O'Dea
10331,Harry Cooper,Karl Hardman
10331,Helen Cooper,Marilyn Eastman
10331,Tom,Keith Wayne
10331,Judy,Judith Ridley
10331,Karen Cooper,Kyra Schon
10331,Newscaster / Zombie,Charles Craig
10331,Cemetery Zombie,S. William Hinzman
10331,Field Reporter,Bill 'Chilly Billy' Cardille
11046,"Maj. Jonathan Smith, MC",Richard Burton
11046,Lt. Morris Schaffer,Clint Eastwood
11046,Mary Elison,Mary Ure
11046,"Col. Wyatt Turner, DSO MC",Patrick Wymark
11046,Adm. Rolland,Michael Hordern
11046,Christiansen,Donald Houston
11046,Berkeley,Peter Barkworth
11046,Thomas,William Squire
11046,Gen. George Carnaby,Robert Beatty
11046,Sgt. Harrod,Brook Williams
52959,Gertrude Lawrence,Julie Andrews
52959,"Richard Aldrich, Producer",Richard Crenna
52959,Sir Anthony Spencer,Michael Craig
52959,Noel Coward,Daniel Massey
52959,Charles Fraser,Robert Reed
52959,Arthur Lawrence,Bruce Forsyth
52959,Rose,Beryl Reid
52959,Jack Roper,John Collin
52959,"Andre Charlot, Producer",Alan Oppenheimer
52959,"David Holtzmann, Gertrude's Attorney",Richard Karlan
41857,Mace Bishop,James Stewart
41857,Dee Bishop,Dean Martin
41857,Sheriff July Johnson,George Kennedy
41857,Maria Stoner,Raquel Welch
41857,Deputy sheriff Roscoe Bookbinder,Andrew Prine
41857,Pop Chaney,Will Geer
41857,Babe Jenkins,Clint Ritchie
41857,Muncie Carter,Denver Pyle
41857,Joe Chaney,Tom Heaton
41857,Angel,Rudy Diaz
22377,Colonel Mike Kirby,John Wayne
22377,George Beckworth,David Janssen
22377,Captian Nim,George Takei
22377,Colonel Cai,Jack Soo
22377,Sgt. Petersen,Jim Hutton
22377,Colonel Morgan,Bruce Cabot
22377,Sgt. Muldoon,Aldo Ray
22377,Sgt. Doc McGee,Raymond St. Jacques
22377,Lt. Jamison,Patrick Wayne
22377,Sgt. Provo,Luke Askew
