adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/ihWaJZCUIon2dXcosjQG2JHJAPN.jpg,"[18, 35]",77338,fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,6.082508,/4mFsNQwbD0F237Tx7gAPotd0nbJ.jpg,11/2/2011,The Intouchables,FALSE,8.1,4239
FALSE,/m3xgF9JiTlfN1rO9hcvTd4PTIQy.jpg,"[12, 16, 9648]",17578,en,The Adventures of Tintin,"Intrepid young reporter, Tintin and his loyal dog, Snowy are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson &amp; Thomson, travel half the world, one step ahead of their enemies as Tintin endeavors to find The Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",3.34331,/3XOaHJARdZIXcd7sgJV24Txp3gf.jpg,10/25/2011,The Adventures of Tintin,FALSE,6.7,1788
FALSE,/pmZtj1FKvQqISS6iQbkiLg5TAsr.jpg,"[28, 12, 878]",1771,en,Captain America: The First Avenger,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",5.22299,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,7/22/2011,Captain America: The First Avenger,FALSE,6.5,6072
FALSE,/39nstYsfjR6ggyKTtB4Joga2fs8.jpg,"[28, 878, 12]",49538,en,X-Men: First Class,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",1.132817,/7SSm7BfzFoVzmd6fCDccj7qRxc8.jpg,5/24/2011,X-Men: First Class,FALSE,7.1,4543
FALSE,/qc0NReaia4MNsr8Ens054x6udrX.jpg,"[35, 14, 10751, 10402, 16]",55301,en,Alvin and the Chipmunks: Chipwrecked,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",2.093442,/31IPWvH2l4ycyK8EsMOmmwiJC7n.jpg,12/14/2011,Alvin and the Chipmunks: Chipwrecked,FALSE,5.4,398
FALSE,/3jmMRaO8WMjKsf1LWzo6Q6E5zMP.jpg,"[12, 28, 80, 9648]",58574,en,Sherlock Holmes: A Game of Shadows,"There is a new criminal mastermind at large--Professor Moriarty--and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",4.380476,/7OFqsVuS6DlVM10GUD72vCGpQm9.jpg,11/22/2011,Sherlock Holmes: A Game of Shadows,FALSE,6.9,3311
FALSE,/pP2sONJEJraOioyrdCtwbVHDkRy.jpg,"[28, 878, 18]",39254,en,Real Steel,"In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.",3.321758,/drtXi58nN6P3zcoLh6wUlsZAYqh.jpg,9/28/2011,Real Steel,FALSE,6.6,2317
FALSE,/hbn46fQaRmlpBuUrEiFqv0GDL6Y.jpg,"[878, 28, 12]",24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",11.724467,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg,4/25/2012,The Avengers,FALSE,7.4,10435
FALSE,/dpo7WDOhWtACY6oflrqxutbhg81.jpg,"[28, 12, 53]",37724,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",6.695904,/lQCkPLDxFONmgzrWLvq085v1g2d.jpg,10/25/2012,Skyfall,FALSE,6.9,6998
FALSE,/3bgtUfKQKNi3nJsAB5URpP2wdRt.jpg,"[28, 80, 18, 53]",49026,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",8.158918,/dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg,7/16/2012,The Dark Knight Rises,FALSE,7.5,8086
FALSE,/jjAq3tCezdlQduusgtMhpY2XzW0.jpg,"[12, 14, 28]",49051,en,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",7.969568,/ysX7vDmSh5O19vFjAi56WL7l4nk.jpg,11/26/2012,The Hobbit: An Unexpected Journey,FALSE,7,7506
FALSE,/tZGKKeWGejt63jiSdi7MTAjCFE9.jpg,"[16, 35, 12, 10751]",57800,en,Ice Age: Continental Drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",5.815931,/u30xsZd3mijrdBKA6CeDsozx48g.jpg,6/26/2012,Ice Age: Continental Drift,FALSE,6.2,2275
FALSE,/hK8gap1Y2zAvFHcKuqe6og15c4b.jpg,"[12, 14, 18, 10749]",50620,en,The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",4.918713,/kJQPygYB8aNEevZZHRifyYrAdU9.jpg,11/13/2012,The Twilight Saga: Breaking Dawn - Part 2,FALSE,6.1,2070
