,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,character0,character1,character2
178,False,/nGc57Uhf3V0lKdFhe96YZ804B1j.jpg,"[12, 16, 10751]",13798,sv,Dunderklumpen!,Dunderklumpen lives all alone in the mountains of Jämtland. One Midsummer's Eve when he feels very lonely he sets off on a journey to find friends.,1.216894,/s8W6Cp8UzHklnDIdiBUym3Ly5Bu.jpg,1974-09-26,Thunderclump,False,0.0,0,Himself,Himself,Dunderklumpen
179,False,,[35],51296,en,Onofre,"Onofre, who is forty years old, is still a virgin. He's going to put great efforts to leave this state...",1.075938,/6IPJ7oRuVXjUUySOQdaczqbLEGf.jpg,1974-01-01,Onofre,False,0.5,1,,,
180,False,/slkPgAt1IQgxZXNrazEcOzhAK8f.jpg,"[27, 53, 12]",578,en,Jaws,"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.",5.514273,/l1yltvzILaZcx2jYvc5sEMkM7Eh.jpg,1975-06-18,Jaws,False,7.23,1312,Police Chief Martin Brody,Quint,Matt Hooper
181,False,/6Fp3am76rkv3AqevktmTMiupdnz.jpg,"[35, 27, 10402, 878]",36685,en,The Rocky Horror Picture Show,"In this cult classic, sweethearts Brad (Barry Bostwick) and Janet (Susan Sarandon), stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter (Tim Curry), a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker (Meat Loaf) and a creepy butler (Richard O'Brien). Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named ""Rocky.""",2.486733,/v2NC7o8f7AZvQbOAwrfRbe5Z106.jpg,1975-08-14,The Rocky Horror Picture Show,False,7.1,294,Dr. Frank-N-Furter,Janet Weiss,Brad Majors
182,False,/8qpUbdLQJHPnTi0DgnBGHZJokSz.jpg,[18],510,en,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse Mildred Ratched.",5.30883,/2Sns5oMb356JNdBHgBETjIpRYy9.jpg,1975-11-18,One Flew Over the Cuckoo's Nest,False,8.02,1483,Randle Patrick McMurphy,Nurse Mildred Ratched,Martini
183,False,/gsnPjs2XTBhYDNFgnlsDgjuauDO.jpg,"[80, 18, 53]",968,en,Dog Day Afternoon,A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.,2.006339,/qgWuZ2yNJrclU8EldQG4rLhwMoy.jpg,1975-08-11,Dog Day Afternoon,False,7.13,295,Sonny,Sal,Det. Sgt. Eugene Moretti
184,False,/54Hx8e2hyJLljB1skSwMCeKFizb.jpg,[35],11843,en,The Return of the Pink Panther,"That famous jewel, The Pink Panther, has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources - himself and his oriental manservant - to reveal the true identity of 'The Phantom'.",1.739224,/zmUzVu8WmHsH0gtVqWCtftar5kW.jpg,1975-05-21,The Return of the Pink Panther,False,6.49,54,Jacques Clouseau,Sir Charles Litton,Charles Dreyfus
185,False,/jUSmmgT3wDIlgARE5sPNtuRPtff.jpg,[37],93708,it,Cipolla Colt,"Onion Jack (Franco Nero) has bought a piece of land on which to settle, but the property is still in possession of the orphans of the original owner and is coveted by the local oil baron.",1.171957,/6X4gkSpOYW7fBXWtK53i7nfK7ed.jpg,1975-08-25,"Cry, Onion!",False,3.63,4,Onion Stark,Henry 'Jack' Pullitzer,Petrus Lamb
186,False,/u5mDZ5MVjuOQGtEzfzhFXbq1Bu.jpg,"[18, 10402]",11326,en,Tommy,"A psychosomatically deaf, dumb and blind boy becomes a master pinball player and the object of a religious cult.",1.293993,/4viJcRFgF4cCPnJWgpvb3CRd2pK.jpg,1975-03-19,Tommy,False,5.94,24,Frank Hobbs,Nora Walker Hobbs,Tommy Walker
187,False,/vDEuilWiK33oy74tDSxtU9eL8RK.jpg,"[12, 28, 878]",11484,en,Rollerball,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",1.574758,/ilPJofDdyoKC1hJG7sdykLBUKZc.jpg,1975-06-25,Rollerball,False,5.81,37,Jonathan E.,Bartholomew,Ella
